id,text,clean_text,fk_id_pengguna,fk_id_calon_pasangan,search_by,score_pos,score_neg,kelas,kelas_manual,date
377377,RT @adit_insomnia: @jokowi Mantap!  https://t.co/Sux94J3C1T,  mantap !  ,114147,1,@jokowi,0,0,Netral,Positif,4/13/2019 20:00
377378,RT @sandiuno: Bersuka cita menyambut pesta demokrasi untuk ekonomi Indonesia yang lebih baik. https://t.co/yIxyTL0AeZ,  bersuka cita menyambut pesta demokrasi untuk ekonomi indonesia yang lebih baik .  ,108254,2,@sandiuno,2,1,Positif,Positif,4/13/2019 20:00
377381,"RT @RelawanProSandi: @Fahrihamzah @AbuTsaqib09 Puncaknya #BeraniPilih02 

Dukungan IB HRS ke pak @prabowo dan bang @sandiuno
sepertinya men",  puncaknya dukungan ib hrs ke pak dan bang sepertinya men,12158,2,@prabowo,1,0,Positif,Positif,4/13/2019 20:03
377382,@MurtadhaOne @makLambeTurah @jokowi @this_vid please ..., please  .  .  . ,114150,1,@jokowi,0,0,Netral,Netral,4/13/2019 20:03
377385,"RT @jokowi: Atas nama cinta, betapa sebetulnya saya ingin memeluk saudara-saudara semua, dalam sebuah pelukan: Satu Indonesia. https://t.co","  atas nama cinta ,  betapa sebetulnya saya ingin memeluk saudara saudara semua ,  dalam sebuah pelukan :  satu indonesia .  ",114152,1,@jokowi,4,0,Positif,Positif,4/13/2019 20:06
377387,"Di era @jokowi industri kimia, farmasi, dan obat tradisional tumbuh mencapai 7,38%. Bahkan, industri makanan dan minuman pertumbuhannya mencapai 7,19% dan industri mesin serta perlengkapan berkembang 6,72%.

https://t.co/JHrLzhn7NI
#JokowiMenangTotalDebat  ..","di era industri kimia ,  farmasi ,  dan obat tradisional tumbuh mencapai  ,   .  bahkan ,  industri makanan dan minuman pertumbuhannya mencapai  ,  dan industri mesin serta perlengkapan berkembang  ,   .   .  . ",18984,1,@jokowi,5,0,Positif,Positif,4/13/2019 20:07
377390,"RT @jokowi: Berbahagiaaa sekali, bertemu ribuan warga hari ini. Duduk dan berdiri di bawah terik matahari, mereka tetap tertib dan berwajah","  berbahagiaaa sekali ,  bertemu ribuan warga hari ini .  duduk dan berdiri di bawah terik matahari ,  mereka tetap tertib dan berwajah",114155,1,@jokowi,2,3,Negatif,Positif,4/13/2019 20:09
377391,"@jokowi Aamiin pak, mantab kenang kenangannya"," aamiin pak ,  mantab kenang kenangannya",114156,1,@jokowi,0,0,Netral,Positif,4/13/2019 20:10
377393,"@SriRajasa @HeraLoebs @aagym @prabowo @sandiuno Ya udah  tambain
#AaGymPilihPrabowo 
#AaGymPilihPrabowo", ya udah tambain ,24292,2,@prabowo,0,0,Netral,Netral,4/13/2019 20:11
377400,"RT @asmanadia: Video Asma Nadia untuk Pak @prabowo. Beliau  sudah melindungi rakyat &amp; tanah air sejak jadi prajurit, semoga bersama Mas  @s","  video asma nadia untuk pak beliau sudah melindungi rakyat  & amp ;  tanah air sejak jadi prajurit ,  semoga bersama mas ",114161,2,@prabowo,2,0,Positif,Positif,4/13/2019 20:14
377401,RT @tehniadinata: A great example of a healthy leader @jokowi on his last day of Presidential campaign. Sehat terus mental &amp; fisiknya ya Pa,  a great example of a healthy leader on his last day of presidential campaign .  sehat terus mental  & amp ;  fisiknya ya pa,66631,1,@jokowi,2,0,Positif,Positif,4/13/2019 20:15
377406,Jangan lupa memantapkan pilihan hanya yang berbaju putih nomor satu untuk Indonesia Maju.@jokowi #JokowiMenangTotalDebat https://t.co/idKia38CcA,jangan lupa memantapkan pilihan hanya yang berbaju putih nomor satu untuk indonesia maju .  ,105608,1,@jokowi,2,1,Positif,Positif,4/13/2019 20:17
377408,@SriRajasa @HeraLoebs @aagym @prabowo @sandiuno Kayuh terus #AaGymPilihPrabowo, kayuh terus ,114163,2,@prabowo,0,0,Netral,Positif,4/13/2019 20:18
377409,RT @KHMarufAmin_: Kami ingin terus menanamkan dan menyiarkan optimisme ke seluruh penjuru Nusantara. Tidak ada negara maju yang rakyatnya p,  kami ingin terus menanamkan dan menyiarkan optimisme ke seluruh penjuru nusantara .  tidak ada negara maju yang rakyatnya p,101568,1,@KHMarufAmin_,2,2,Netral,Positif,4/13/2019 20:18
377410,"RT @Dennysiregar7: Seorang kampret kepergok berfoto dengan dua jari di pesta demokrasi @jokowi.

Saya tepuk pundaknya dari blkg, ""Nikmati p","  seorang kampret kepergok berfoto dengan dua jari di pesta demokrasi saya tepuk pundaknya dari blkg ,  nikmati p",114164,1,@jokowi,0,1,Negatif,Negatif,4/13/2019 20:19
377412,RT @Jokowi_Amin: LIVE! NOBAR MILENIAL: DEBAT CAPRES CAWAPRES V https://t.co/mkfS2DSHQC,  live !  nobar milenial :  debat capres cawapres v ,52850,1,@Jokowi_Amin,0,0,Netral,Netral,4/13/2019 20:19
377413,"RT @maman1965: Setelah memilih Pak @jokowi , dan jika Allah mengizinkanNya kembali menjadi Presiden Republik Indonesia , saya akan tetap me","  setelah memilih pak  ,  dan jika allah mengizinkannya kembali menjadi presiden republik indonesia  ,  saya akan tetap me",114165,1,@jokowi,2,1,Positif,Positif,4/13/2019 20:21
377414,"RT @baret_putih: Alhamdulillah 
Setelah UAS menguatkan dukungan kepada pak @prabowo 
Malam ini UAH menguatkan beliau dengan cara yang sama.",  alhamdulillah setelah uas menguatkan dukungan kepada pak malam ini uah menguatkan beliau dengan cara yang sama . ,110470,2,@prabowo,1,0,Positif,Positif,4/13/2019 20:21
377418,"RT @sahaL_AS: Sejumlah tokoh masyarakat dari berbagai bidang memberikan testimoni utk menyatakan dukungannya @jokowi dan @psi_id. 

Ber",  sejumlah tokoh masyarakat dari berbagai bidang memberikan testimoni utk menyatakan dukungannya dan ber,98334,1,@jokowi,1,0,Positif,Positif,4/13/2019 20:24
377422,"RT @jokowi: Demi tetap berkibarnya sang merah putih, para pahlawan telah mengorbankan nyawa. Kami wakafkan hidup ini untuk Indonesia yang m","  demi tetap berkibarnya sang merah putih ,  para pahlawan telah mengorbankan nyawa .  kami wakafkan hidup ini untuk indonesia yang m",105106,1,@jokowi,2,1,Positif,Positif,4/13/2019 20:26
377425,"RT @NonaCarina: Setelah tadi #KonserPutihBerSATU di GBK, saya paham kalau @jokowi dikelilingi oleh cinta dan penuh cinta. #JokowiMenangTota","  setelah tadi di gbk ,  saya paham kalau dikelilingi oleh cinta dan penuh cinta .  ",33080,1,@jokowi,2,0,Positif,Positif,4/13/2019 20:27
377426,RT @sandiuno: Tiba kembali di Jakarta setelah seharian beraktivitas di Palembang dan Bandar Lampung. Terima kasih untuk seluruh masyarakat,  tiba kembali di jakarta setelah seharian beraktivitas di palembang dan bandar lampung .  terima kasih untuk seluruh masyarakat,94224,2,@sandiuno,2,1,Positif,Positif,4/13/2019 20:27
377427,"RT @idntimes: @prabowo: Telah terjadi deindustrialisasi, sekarang bangsa Indonesia tidak memproduksi apa-apa, kita hanya bisa menerima baha","  telah terjadi deindustrialisasi ,  sekarang bangsa indonesia tidak memproduksi apa apa ,  kita hanya bisa menerima baha",67313,2,@prabowo,3,1,Positif,Negatif,4/13/2019 20:28
377429,RT @cheesecake_gelo: Gaspoll pak @jokowi #JokowiMenangTotalDebat,  gaspoll pak ,114169,1,@jokowi,0,0,Netral,Positif,4/13/2019 20:29
377432,RT @MataNajwa: @NajwaShihab @prabowo @jokowi @SBYudhoyono @KPU_ID @KHMarufAmin_ @sandiuno Moderator mempersilakan pasangan 01 @jokowi - @KH,  moderator mempersilakan pasangan ,50733,2,@prabowo,0,0,Netral,Netral,4/13/2019 20:30
377434,"RT @MataNajwa: @NajwaShihab @prabowo @jokowi @SBYudhoyono @KPU_ID @KHMarufAmin_ @sandiuno ""Selama 4,5 tahun saya dengan @Pak_JK telah berus","  selama  ,  tahun saya dengan telah berus",50733,1,@jokowi,0,0,Netral,Netral,4/13/2019 20:32
377436,RT @davidlipson: This is the rally for President @jokowi  #Pilpres2019 https://t.co/g5Mu7xRlzC,  this is the rally for president ,114173,1,@jokowi,0,0,Netral,Netral,4/13/2019 20:33
377437,@HeraLoebs @prabowo Joss #AagymPilihPrabowo mantap, joss mantap,114174,2,@prabowo,0,0,Netral,Positif,4/13/2019 20:33
377440,"@HeraLoebs @prabowo Hati sy pilih 02
#AagymPilihPrabowo ", hati sy pilih ,22905,2,@prabowo,1,0,Positif,Positif,4/13/2019 20:34
