id,text,clean_text,fk_id_pengguna,fk_id_calon_pasangan,search_by,score_pos,score_neg,kelas,kelas_manual,date
377377,RT @adit_insomnia: @jokowi Mantap!  https://t.co/Sux94J3C1T,  mantap !  ,114147,1,@jokowi,0,0,Positif,NULL,4/13/2019 20:00
377378,RT @sandiuno: Bersuka cita menyambut pesta demokrasi untuk ekonomi Indonesia yang lebih baik. https://t.co/yIxyTL0AeZ,  bersuka cita menyambut pesta demokrasi untuk ekonomi indonesia yang lebih baik .  ,108254,2,@sandiuno,2,1,Positif,NULL,4/13/2019 20:00
377381,"RT @RelawanProSandi: @Fahrihamzah @AbuTsaqib09 Puncaknya #BeraniPilih02 

Dukungan IB HRS ke pak @prabowo dan bang @sandiuno
sepertinya men",  puncaknya dukungan ib hrs ke pak dan bang sepertinya men,12158,2,@prabowo,1,0,Positif,NULL,4/13/2019 20:03
377382,@MurtadhaOne @makLambeTurah @jokowi @this_vid please ..., please  .  .  . ,114150,1,@jokowi,0,0,Positif,NULL,4/13/2019 20:03
377385,"RT @jokowi: Atas nama cinta, betapa sebetulnya saya ingin memeluk saudara-saudara semua, dalam sebuah pelukan: Satu Indonesia. https://t.co","  atas nama cinta ,  betapa sebetulnya saya ingin memeluk saudara saudara semua ,  dalam sebuah pelukan :  satu indonesia .  ",114152,1,@jokowi,4,0,Positif,NULL,4/13/2019 20:06
377387,"Di era @jokowi industri kimia, farmasi, dan obat tradisional tumbuh mencapai 7,38%. Bahkan, industri makanan dan minuman pertumbuhannya mencapai 7,19% dan industri mesin serta perlengkapan berkembang 6,72%.

https://t.co/JHrLzhn7NI
#JokowiMenangTotalDebat  ..","di era industri kimia ,  farmasi ,  dan obat tradisional tumbuh mencapai  ,   .  bahkan ,  industri makanan dan minuman pertumbuhannya mencapai  ,  dan industri mesin serta perlengkapan berkembang  ,   .   .  . ",18984,1,@jokowi,5,0,Positif,NULL,4/13/2019 20:07
377390,"RT @jokowi: Berbahagiaaa sekali, bertemu ribuan warga hari ini. Duduk dan berdiri di bawah terik matahari, mereka tetap tertib dan berwajah","  berbahagiaaa sekali ,  bertemu ribuan warga hari ini .  duduk dan berdiri di bawah terik matahari ,  mereka tetap tertib dan berwajah",114155,1,@jokowi,2,3,Positif,NULL,4/13/2019 20:09
377391,"@jokowi Aamiin pak, mantab kenang kenangannya"," aamiin pak ,  mantab kenang kenangannya",114156,1,@jokowi,0,0,Positif,NULL,4/13/2019 20:10
377393,"@SriRajasa @HeraLoebs @aagym @prabowo @sandiuno Ya udah  tambain
#AaGymPilihPrabowo 
#AaGymPilihPrabowo", ya udah tambain ,24292,2,@prabowo,0,0,Positif,NULL,4/13/2019 20:11
377394,"RT @jokowi: Atas nama cinta, betapa sebetulnya saya ingin memeluk saudara-saudara semua, dalam sebuah pelukan: Satu Indonesia. https://t.co","  atas nama cinta ,  betapa sebetulnya saya ingin memeluk saudara saudara semua ,  dalam sebuah pelukan :  satu indonesia .  ",105874,1,@jokowi,4,0,Positif,NULL,4/13/2019 20:12
